Date,Spread,Mcap,P/B,P/E,Close,Volatility,30y_yield,AA Yield,Mkt_rf,smb,hml,rf,Yield,3m,Inflation
1992-01-17,0.91,2.547M,2.3386,26.8914,418.86,12.38,7.614,8.2,0.93,1.64,3.64,0.085,,3.883,
1992-01-24,0.94,2.525M,2.3221,26.7184,415.48,13.62,7.708,8.22,-0.74,0.68,0.05,0.085,,3.914,
1992-01-31,0.95,2.503M,2.2817,26.2625,408.79,14.26,7.758,8.25,-1.26,1.65,1.07,0.085,2.94,3.935,2.6
1992-02-07,0.93,2.516M,2.2919,26.4072,411.09,11.77,7.76,8.25,0.96,1.11,1.29,0.071,,3.821,
1992-02-14,0.94,2.513M,2.3019,26.532,412.48,10.43,7.906,8.27,0.31,0.11,2.47,0.071,,3.893,
1992-02-21,0.95,2.507M,2.2974,26.4749,411.46,11.86,7.945,8.33,-0.47,-0.52,2.74,0.071,,4.039,
1992-02-28,0.92,2.515M,2.2974,26.4262,412.7,11.55,7.789,8.31,0.29,0.16,-0.19,0.071,,4.017,
1992-03-06,0.89,2.467M,2.2523,25.9395,404.44,10.64,7.932,8.32,-2.06,0.21,0.81,0.084,2.98,4.121,2.8
1992-03-13,0.89,2.475M,2.2641,26.1177,405.84,10.34,8.066,8.34,0.28,-0.58,0.16,0.084,,4.152,
1992-03-20,0.93,2.508M,2.2957,26.4777,411.3,9.99,8.046,8.38,1.11,-0.62,1.94,0.084,,4.152,
1992-03-27,0.89,2.462M,2.2512,25.956,403.5,9.72,7.94,8.36,-1.91,-0.04,0.22,0.084,,4.1,
1992-04-03,0.86,2.451M,2.2806,25.7651,401.55,8.2,7.876,8.35,-1.06,-1.13,0,0.081,3.03,4.059,3.2
1992-04-10,0.87,2.47M,2.2989,26.0294,404.29,11.42,7.886,8.32,0.31,-1.43,0.53,0.081,,3.739,
1992-04-17,0.88,2.547M,2.366,26.778,416.05,12.15,7.938,8.28,2.35,-2.32,2.14,0.081,,3.728,
1992-04-24,0.91,2.506M,2.3237,26.3213,409.02,12.87,8.042,8.33,-1.95,-0.57,2.66,0.081,,3.739,
1992-05-01,0.86,2.531M,2.3294,26.1885,412.53,13.09,8.013,8.37,0.91,-0.04,-0.64,0.069,3.02,3.708,3.2
1992-05-08,0.85,2.524M,2.349,26.3948,416.05,12.87,7.895,8.35,1.01,-0.03,0.33,0.069,,3.708,
1992-05-15,0.85,2.493M,2.3199,26.2519,410.09,13.22,7.819,8.27,-1.43,0.13,1.14,0.069,,3.677,
1992-05-22,0.84,2.518M,2.3507,26.6841,414.02,10.58,7.822,8.23,0.8,-0.18,0.13,0.069,,3.759,
1992-05-29,0.87,2.559M,2.3549,26.6427,415.35,9.9,7.837,8.24,0.39,-0.08,-0.38,0.069,,3.77,
1992-06-05,0.84,2.544M,2.3499,26.7373,413.48,9.2,7.847,8.25,-0.46,0.43,1.62,0.08,2.97,3.759,3
1992-06-12,0.84,2.488M,2.3444,26.8832,409.76,9.19,7.858,8.24,-1.3,-1.36,1.32,0.08,,3.731,
1992-06-19,0.8,2.451M,2.3162,26.7092,403.67,9.95,7.83,8.22,-1.85,-1.69,0.56,0.08,,3.728,
1992-06-26,0.82,2.447M,2.3157,26.6707,403.45,9.22,7.782,8.2,-0.24,-0.99,0.21,0.08,,3.697,
1992-07-03,0.82,2.495M,2.2817,25.6027,411.77,10.03,7.629,8.16,2.23,-0.14,-1.05,0.077,3.02,3.316,3.1
1992-07-10,0.81,2.518M,2.2968,25.7627,414.62,10.33,7.633,8.08,0.62,-0.59,0.5,0.077,,3.275,
1992-07-17,0.78,2.525M,2.3022,25.8223,415.62,10.09,7.678,8.09,0.21,0.77,-1.03,0.077,,3.223,
1992-07-24,0.76,2.509M,2.2823,25.5784,411.6,9.82,7.572,8.06,-0.83,0.22,0.49,0.077,,3.223,
1992-07-31,0.7,2.595M,2.3525,26.381,424.21,9.64,7.458,8.01,2.95,-0.31,-0.57,0.077,2.97,3.244,3.2
1992-08-07,0.69,2.562M,2.3217,25.9622,418.88,10.08,7.396,7.99,-0.99,0.77,-0.76,0.065,,3.203,
1992-08-14,0.69,2.56M,2.3267,26.0329,419.91,8.73,7.324,7.93,0.09,-0.5,0.15,0.065,,3.131,
1992-08-21,0.71,2.528M,2.2978,25.7334,414.85,8.22,7.35,7.91,-1.2,-0.08,-0.18,0.065,,3.141,
1992-08-28,0.72,2.528M,2.2977,25.7507,414.84,8.48,7.423,7.97,-0.19,-0.48,-0.54,0.065,,3.224,
1992-09-04,0.75,2.544M,2.3111,25.8882,417.08,8.43,7.28,7.93,0.75,0.54,-1.03,0.064,2.96,2.976,3.1
1992-09-11,0.67,2.56M,2.3284,25.9013,419.58,7.17,7.293,7.87,0.67,0.3,-1.26,0.064,,2.976,
1992-09-18,0.67,2.58M,2.3526,26.1677,422.93,9.1,7.322,7.91,0.7,-0.31,-0.02,0.064,,2.935,
1992-09-25,0.73,2.525M,2.3015,25.595,414.35,10.11,7.359,7.96,-1.88,0.34,1.67,0.064,,2.853,
1992-10-02,0.71,2.496M,2.2487,24.387,410.47,10.65,7.334,7.93,-0.94,-0.2,1.1,0.057,2.96,2.678,3
1992-10-09,0.8,2.451M,2.2063,23.8691,402.66,11.37,7.524,7.92,-1.46,0.89,-0.67,0.057,,2.884,
1992-10-16,0.88,2.505M,2.2554,24.4103,411.73,12,7.531,7.96,1.99,-0.39,-0.93,0.057,,2.956,
1992-10-23,0.89,2.524M,2.2709,24.5622,414.1,10.93,7.645,8.04,0.95,1.32,-0.34,0.057,,2.987,
1992-10-30,0.89,2.558M,2.2974,24.8577,418.68,10.67,7.626,8.07,1.29,0.27,-0.54,0.057,,3.007,
1992-11-06,0.91,2.549M,2.2919,24.6634,417.58,10.32,7.756,8.11,0.28,1.2,-0.14,0.059,3,3.12,3.2
1992-11-13,0.86,2.576M,2.3178,24.9573,422.43,9.23,7.565,8.14,1.47,1.7,-1.75,0.059,,3.141,
1992-11-20,0.84,2.602M,2.3447,25.2575,426.65,7.58,7.534,8.07,1,0.21,-0.39,0.059,,3.254,
1992-11-27,0.85,2.623M,2.3639,25.4592,430.16,7.73,7.591,8.06,0.96,0.33,0.4,0.059,,3.316,
1992-12-04,0.86,2.632M,2.3691,25.4676,432.06,7.56,7.487,8.06,0.64,1.15,0.73,0.07,2.93,3.326,3
1992-12-11,0.82,2.647M,2.3786,25.5969,433.73,7.36,7.438,8,0.18,-0.56,0.55,0.07,,3.326,
1992-12-18,0.83,2.694M,2.4208,26.0494,441.28,7.44,7.425,7.99,1.24,-1.26,0.31,0.07,,3.223,
1992-12-25,0.82,2.685M,2.4186,26.0763,439.77,7.35,7.361,7.93,-0.11,0.43,1.2,0.07,,3.234,
1993-01-01,0.85,2.676M,2.5094,24.4126,435.71,7.24,7.396,7.9,-0.11,2.12,0.3,0.07,2.84,3.141,2.9
1993-01-08,0.82,2.632M,2.473,23.9445,429.05,7.34,7.465,7.92,-1.52,1.09,1.39,0.058,,3.12,
1993-01-15,0.77,2.679M,2.5169,24.375,437.15,7.74,7.346,7.96,2.01,0.06,0.56,0.058,,3.007,
1993-01-22,0.75,2.678M,2.5184,24.3793,436.11,7.47,7.29,7.9,0.15,0.91,2.67,0.058,,3.017,
1993-01-29,0.71,2.697M,2.5327,24.4853,438.78,7.47,7.197,7.84,0.31,-0.25,1.24,0.058,,2.966,
1993-02-05,0.72,2.76M,2.5905,24.8762,448.93,7.51,7.161,7.78,2.16,-1.42,2.16,0.055,2.85,2.966,3.3
1993-02-12,0.74,2.733M,2.5645,24.6342,444.58,7.73,7.124,7.75,-0.98,0.09,1.26,0.055,,2.997,
1993-02-19,0.68,2.666M,2.5032,24.065,434.22,10.5,7.006,7.69,-2.89,-1,2.89,0.055,,2.987,
1993-02-26,0.61,2.724M,2.5524,24.5244,443.38,11.01,6.897,7.61,1.92,-1.18,0.17,0.055,,2.997,
1993-03-05,0.56,2.739M,2.5773,24.7143,446.11,11.63,6.737,7.56,0.93,0.7,-0.1,0.063,2.82,3.059,3.2
1993-03-12,0.57,2.757M,2.5968,24.8853,449.83,13.09,6.858,7.54,1.03,0.5,-0.29,0.063,,3.028,
1993-03-19,0.55,2.761M,2.6019,24.9464,450.18,12.9,6.802,7.61,-0.32,-0.79,1.97,0.063,,3.017,
1993-03-26,0.56,2.746M,2.5861,24.8012,447.78,12.89,6.938,7.59,-0.37,-0.13,0.69,0.063,,2.987,
1993-04-02,0.59,2.705M,2.5433,23.0869,441.39,12.22,7.054,7.64,-1.41,0.61,0.04,0.059,2.77,2.966,3.1
1993-04-09,0.64,2.704M,2.5407,23.051,441.84,11.53,6.847,7.61,-0.25,-1.26,2.68,0.059,,2.945,
1993-04-16,0.62,2.741M,2.582,23.4195,448.94,11.53,6.755,7.45,1.38,-1.38,2.18,0.059,,2.884,
1993-04-23,0.71,2.674M,2.5139,22.8075,437.03,10.04,6.79,7.34,-2.38,1.92,-2.46,0.059,,2.894,
1993-04-30,0.75,2.697M,2.5303,23.0531,440.19,10.3,6.933,7.4,0.58,-0.59,-0.9,0.059,2.82,2.956,3.2
1993-05-07,0.76,2.712M,2.5517,23.2664,442.31,10.15,6.844,7.37,1,1.69,-2.05,0.054,,2.925,
1993-05-14,0.77,2.696M,2.5367,23.1358,439.56,8.77,6.945,7.41,-0.66,0.72,-0.19,0.054,,3.007,
1993-05-21,0.8,2.735M,2.5722,23.4626,445.84,9.7,7.031,7.48,1.53,-0.07,-2.03,0.054,,3.059,
1993-05-28,0.81,2.758M,2.5854,23.5375,450.19,10.35,6.978,7.46,1,-0.33,0.81,0.054,,3.12,
1993-06-04,0.77,2.755M,2.5834,23.5155,450.06,9.97,6.908,7.39,-0.02,0.41,0.91,0.063,2.81,3.172,3.2
1993-06-11,0.75,2.738M,2.5747,23.5165,447.26,9.66,6.803,7.38,-0.93,-0.56,-0.01,0.063,,3.11,
1993-06-18,0.74,2.716M,2.5575,23.3734,443.68,10.12,6.806,7.32,-0.59,0.37,0.96,0.063,,3.12,
1993-06-25,0.72,2.74M,2.5845,23.6601,447.6,9.89,6.7,7.29,0.86,-1.05,0.65,0.063,,3.141,
1993-07-02,0.72,2.727M,2.5485,24.3401,445.84,8.59,6.663,7.24,0.26,1.43,0.11,0.06,2.79,3.007,3
1993-07-09,0.73,2.742M,2.5597,24.0007,448.13,9.33,6.637,7.22,0.4,-0.24,0.56,0.06,,3.079,
1993-07-16,0.74,2.722M,2.5498,23.93,445.75,9.14,6.539,7.16,-0.39,0.96,0.81,0.06,,3.069,
1993-07-23,0.76,2.731M,2.5564,23.9982,447.1,9.07,6.699,7.17,-0.09,-0.94,0.38,0.06,,3.151,
1993-07-30,0.81,2.739M,2.5603,23.916,448.13,8.81,6.564,7.14,0.4,0.04,0.76,0.06,,3.1,
1993-08-06,0.78,2.74M,2.5601,24.0587,448.68,8.25,6.526,7.04,0.44,0.32,-0.48,0.063,2.8,3.095,2.8
1993-08-13,0.77,2.746M,2.5678,24.1374,450.14,7.61,6.348,6.92,0.32,-0.13,0.96,0.063,,3.079,
1993-08-20,0.74,2.785M,2.609,24.5313,456.16,6.13,6.217,6.79,1.4,0.01,-0.89,0.063,,3.048,
1993-08-27,0.72,2.808M,2.6313,24.7552,460.54,6.08,6.134,6.71,0.76,-0.22,0.57,0.063,,3.09,
1993-09-03,0.73,2.811M,2.6354,24.7154,461.34,5.69,5.944,6.61,0.61,1.2,-0.21,0.064,2.76,2.997,2.8
1993-09-10,0.75,2.811M,2.6349,24.7308,461.72,6.16,5.881,6.51,-0.21,-0.88,0.33,0.064,,3.028,
1993-09-17,0.67,2.798M,2.6319,24.7368,458.83,6.48,6.038,6.66,-0.56,0.49,0.53,0.064,,3.007,
1993-09-24,0.64,2.787M,2.6236,24.65,457.63,7.22,6.048,6.79,0.19,1.1,-1.59,0.064,,2.987,
1993-10-01,0.66,2.817M,2.5934,23.2953,461.29,7.6,5.99,6.69,0.89,0.81,0.83,0.055,2.73,2.976,2.7
1993-10-08,0.65,2.81M,2.5941,23.3558,460.31,7.06,5.923,6.7,-0.23,0.85,-0.43,0.055,,3.038,
1993-10-15,0.63,2.864M,2.6475,23.8717,469.5,7.8,5.786,6.62,1.98,0.78,-2.76,0.055,,3.069,
1993-10-22,0.63,2.831M,2.6131,23.5785,463.27,7.3,5.976,6.63,-1.55,0.12,0.63,0.055,,3.1,
1993-10-29,0.65,2.867M,2.6252,23.6791,467.83,6.6,5.97,6.73,0.88,0.63,-0.51,0.055,,3.1,
1993-11-05,0.7,2.818M,2.5812,23.2415,459.57,7.69,6.211,6.87,-1.97,-0.02,-1.42,0.062,2.7,3.12,2.8
1993-11-12,0.72,2.859M,2.6188,23.5917,465.39,8,6.145,6.93,1.48,0.54,-0.73,0.062,,3.172,
1993-11-19,0.75,2.848M,2.6069,23.4841,462.6,8.37,6.338,6.94,-1.3,-1.29,0.74,0.062,,3.182,
1993-11-26,0.75,2.845M,2.6196,23.6012,463.06,7.87,6.26,6.99,0.18,-0.98,0.76,0.062,,3.172,
1993-12-03,0.75,2.847M,2.6253,23.4568,464.89,7.77,6.245,6.95,0.68,0.92,-0.8,0.057,2.71,3.172,2.7
1993-12-10,0.75,2.844M,2.6219,23.4208,463.93,7.66,6.192,6.86,-0.25,-0.32,0.94,0.057,,3.12,
1993-12-17,0.75,2.86M,2.6372,23.5625,466.38,6.28,6.279,6.97,0.24,-0.87,0.59,0.057,,3.089,
1993-12-24,0.75,2.865M,2.6424,23.6118,467.38,6,6.213,6.95,0.09,-0.58,0.04,0.057,,3.1,
1993-12-31,0.77,2.867M,2.6337,22.0648,466.45,5.81,6.348,6.94,0.57,2.51,-0.66,0.057,2.7,3.059,2.7
