Date,Spread,Mcap,Value,P/E,Close,Volatility,30y_yield
19/10/18,0.93,22.926M,3.3153,18.8756,2767.78,15.85,3.3758
12/10/18,0.91,22.928M,3.3145,18.8712,2767.13,13.67,3.3347
05/10/18,0.91,23.917M,3.4534,19.6736,2885.57,6.47,3.4036
28/09/18,0.91,24.156M,3.5231,20.9823,2913.98,5.9,3.2057
21/09/18,0.92,24.285M,3.5436,21.0626,2929.67,6.87,3.1998
14/09/18,0.92,24.094M,3.5104,20.8995,2904.98,6.68,3.1309
07/09/18,0.87,23.819M,3.4704,20.6617,2871.68,7.11,3.1014
31/08/18,0.88,24.077M,3.5067,20.8785,2901.52,7.75,3.0191
24/08/18,0.88,23.855M,3.4723,20.7458,2874.69,7.4,2.9589
17/08/18,0.87,23.645M,3.4434,20.5628,2850.13,7.98,3.0199
10/08/18,0.88,23.497M,3.4235,20.4398,2833.28,8.14,3.0303
03/08/18,0.9,23.564M,3.4311,20.5171,2840.35,9.52,3.0886
27/07/18,0.91,23.44M,3.405,20.4294,2818.82,9.46,3.0822
20/07/18,0.92,23.32M,3.3841,20.3104,2801.83,8.81,3.0258
13/07/18,0.93,23.333M,3.3839,20.3035,2801.31,9.06,2.9315
06/07/18,0.91,22.993M,3.3337,20.002,2759.82,10.32,2.9293
29/06/18,0.89,22.659M,3.2933,20.5579,2718.37,9.88,2.989
22/06/18,0.87,22.959M,3.3396,20.862,2754.88,8.67,3.0394
15/06/18,0.88,23.213M,3.3731,20.9907,2779.66,9.03,3.0465
08/06/18,0.87,23.167M,3.3722,20.9854,2779.03,10.34,3.0896
01/06/18,0.87,22.82M,3.3215,20.6249,2734.62,11.31,3.0506
25/05/18,0.84,22.701M,3.3088,20.5799,2721.33,10.33,3.092
18/05/18,0.83,22.639M,3.2983,20.516,2712.97,11.69,3.1974
11/05/18,0.81,22.774M,3.3165,20.631,2727.72,14.24,3.1041
04/05/18,0.8,22.246M,3.241,20.2155,2663.42,18.76,3.1221
27/04/18,0.82,22.352M,3.2493,20.3717,2669.91,21.12,3.1245
20/04/18,0.82,22.366M,3.2498,20.3744,2670.14,20.57,3.1451
13/04/18,0.84,22.25M,3.233,20.2688,2656.3,21.05,3.027
06/04/18,0.83,21.824M,3.1691,19.8724,2604.47,21.37,3.0182
23/03/18,0.81,21.69M,3.1762,20.7252,2588.26,17.49,3.0608
16/03/18,0.78,23.025M,3.3709,21.9906,2752.01,23.1,3.077
09/03/18,0.75,23.32M,3.4132,22.2664,2786.57,24.12,3.158
02/03/18,0.69,22.521M,3.2965,21.4991,2691.25,23.6,3.1398
23/02/18,0.67,22.996M,3.3674,22.0349,2747.3,22.8,3.1555
16/02/18,0.67,22.891M,3.3491,21.917,2732.22,22.25,3.1316
09/02/18,0.7,21.96M,3.2115,21.0159,2619.55,21.53,3.1596
02/02/18,0.7,23.168M,3.3916,22.1964,2762.13,10.71,3.0868
26/01/18,0.69,24.093M,3.5226,23.1402,2872.87,7.33,2.9114
19/01/18,0.71,23.565M,3.4447,22.6387,2810.3,6.59,2.9331
12/01/18,0.71,23.369M,3.4151,22.4433,2786.24,6.3,2.8491
05/01/18,0.72,23.01M,3.3625,22.0974,2743.15,6.69,2.8105
29/12/17,0.72,22.434M,3.304,22.2046,2673.61,6.27,2.7399
22/12/17,0.71,22.51M,3.3123,22.3059,2683.34,6.7,2.8309
15/12/17,0.72,22.451M,3.2977,22.2236,2675.81,6.61,2.6873
08/12/17,0.72,22.249M,3.2677,22.0215,2651.5,6.07,2.7685
01/12/17,0.71,22.173M,3.2571,21.9496,2642.22,6.48,2.7615
24/11/17,0.7,21.847M,3.2108,21.6897,2602.42,5.5,2.7638
17/11/17,0.66,21.654M,3.1817,21.4939,2578.85,5.24,2.7778
03/11/17,0.72,21.723M,3.1932,21.5648,2587.84,4.49,2.8129
27/10/17,0.72,21.684M,3.1841,21.5504,2581.07,4.55,2.9179
20/10/17,0.71,21.66M,3.1772,21.5021,2575.21,3.41,2.8969
13/10/17,0.72,21.477M,3.1501,21.3182,2553.17,5.19,2.805
06/10/17,0.73,21.46M,3.1472,21.2933,2549.33,5.3,2.8936
29/09/17,0.71,21.211M,3.1826,21.3331,2519.36,5.94,2.8601
22/09/17,0.68,21.067M,3.1626,21.2165,2502.22,8.17,2.7801
15/09/17,0.66,21.043M,3.1545,21.1439,2500.23,9.37,2.77
08/09/17,0.64,20.722M,3.1061,20.8182,2461.43,8.79,2.6692
01/09/17,0.67,20.835M,3.1265,20.955,2476.55,8.48,2.777
25/08/17,0.67,20.542M,3.0875,20.7023,2443.05,8.31,2.7469
18/08/17,0.67,20.396M,3.0654,20.5549,2425.55,8.1,2.7762
11/08/17,0.69,20.521M,3.0853,20.6874,2441.32,6.78,2.7855
04/08/17,0.68,20.822M,3.1305,20.9977,2476.83,6.71,2.842
28/07/17,0.69,20.807M,3.1268,20.9899,2472.1,7.38,2.8953
21/07/17,0.69,20.844M,3.119,20.9774,2472.54,7.47,2.8087
14/07/17,0.7,20.742M,3.1022,20.8649,2459.27,7.41,2.9195
07/07/17,0.69,20.457M,3.0592,20.5772,2425.18,7.37,2.9289
30/06/17,0.7,20.451M,3.0583,20.6763,2423.41,6.77,2.8348
23/06/17,0.7,20.574M,3.137,21.1879,2438.3,8.01,2.7155
16/06/17,0.68,20.561M,3.1249,21.1684,2433.15,7.4,2.7752
09/06/17,0.69,20.54M,3.1232,21.1582,2431.77,7.33,2.8556
02/06/17,0.68,20.60M,3.1326,21.2246,2439.07,7.99,2.81
26/05/17,0.68,20.393M,3.107,21.0749,2415.82,8.14,2.912
19/05/17,0.71,20.11M,3.0629,20.7709,2381.73,8.72,2.8966
12/05/17,0.7,20.182M,3.0732,20.8505,2390.9,6.21,2.9889
05/05/17,0.71,20.261M,3.0831,20.9268,2399.29,6.54,2.9832
28/04/17,0.71,20.149M,3.0659,20.8236,2384.2,7.6,2.9508
21/04/17,0.69,19.855M,3.0207,20.5142,2348.69,7.12,2.9015
07/04/17,0.69,19.899M,3.0295,20.5767,2355.54,7.44,3.0078
31/03/17,0.7,19.952M,3.0417,20.6899,2362.72,7.59,3.0094
24/03/17,0.67,19.792M,3.0605,21.1326,2343.98,7.59,3.0134
17/03/17,0.66,20.062M,3.1012,21.3883,2378.25,6.6,3.1096
10/03/17,0.67,20.009M,3.0914,21.3436,2372.6,6.65,3.1647
03/03/17,0.7,20.096M,3.1052,21.4391,2383.12,6.91,3.0713
24/02/17,0.69,19.968M,3.0844,21.3258,2367.34,5.68,2.951
17/02/17,0.68,19.852M,3.0634,21.1826,2351.16,5.76,3.0231
10/02/17,0.69,19.58M,3.0179,20.8657,2316.1,6.32,3.0056
03/02/17,0.71,19.434M,2.9936,20.6954,2297.42,6.69,3.0902
27/01/17,0.72,19.422M,2.9919,20.6923,2294.69,6.31,3.0588
20/01/17,0.73,19.235M,2.961,20.487,2271.31,6.6,3.0488
13/01/17,0.75,19.259M,2.9687,20.5418,2274.64,7.51,2.9886
06/01/17,0.77,19.274M,2.9716,20.563,2276.98,7.8,3.0088
30/12/16,0.75,18.964M,2.8871,20.8313,2238.83,7.6,3.0651
23/12/16,0.76,19.171M,2.9194,21.0765,2263.79,7.17,3.1138
16/12/16,0.78,19.124M,2.9081,20.9856,2258.07,9.64,3.1741
09/12/16,0.78,19.136M,2.9099,20.9984,2259.53,9.99,3.1529
02/12/16,0.8,18.574M,2.8229,20.3708,2191.95,9.57,3.0615
25/11/16,0.83,18.749M,2.8512,20.5788,2213.35,9.45,3.0045
18/11/16,0.88,18.486M,2.8094,20.2934,2181.9,10.1,3.0296
04/11/16,0.84,17.691M,2.686,19.3979,2085.18,7.88,2.561
28/10/16,0.86,18.078M,2.7398,19.8391,2126.41,8.89,2.6154
21/10/16,0.89,18.23M,2.759,19.9828,2141.16,10.25,2.4846
14/10/16,0.86,18.164M,2.7482,19.905,2132.98,13.3,2.5583
07/10/16,0.85,18.346M,2.7737,20.0937,2153.74,12.88,2.4508
30/09/16,0.86,18.468M,2.7953,20.2615,2168.27,12.77,2.3154
23/09/16,0.88,18.439M,2.8483,20.4142,2164.69,11.84,2.3471
16/09/16,0.92,18.213M,2.8095,20.1363,2139.16,11.15,2.4452
09/09/16,0.92,18.113M,2.7947,20.0294,2127.81,9.2,2.3946
02/09/16,0.95,18.549M,2.864,20.5229,2179.98,5.3,2.2782
26/08/16,0.95,18.434M,2.8503,20.4397,2169.04,5.38,2.2869
19/08/16,0.94,18.564M,2.8699,20.5796,2183.87,5.64,2.2869
12/08/16,0.91,18.557M,2.8706,20.5814,2184.05,7.33,2.2306
05/08/16,0.89,18.549M,2.869,20.5584,2182.87,11.98,2.314
29/07/16,0.91,18.507M,2.8598,20.489,2173.6,16.86,2.1827
22/07/16,0.9,18.554M,2.8614,20.5062,2175.03,17.16,2.283
15/07/16,0.94,18.437M,2.8441,20.3815,2161.74,17.38,2.2655
08/07/16,0.98,18.168M,2.8023,20.0817,2129.9,17.29,2.0983
01/07/16,1,17.947M,2.7681,19.8768,2102.95,17.09,2.2253
24/06/16,1,17.378M,2.7208,19.1217,2037.41,14.56,2.4101
17/06/16,1.04,17.669M,2.7693,19.4286,2071.22,9.85,2.4196
10/06/16,1.04,17.877M,2.8027,19.6596,2096.07,10.23,2.4511
03/06/16,1.05,17.897M,2.8069,19.6889,2099.13,10.25,2.5097
27/05/16,1.04,17.913M,2.8114,19.6836,2099.06,10.33,2.6464
20/05/16,1.04,17.519M,2.7492,19.25,2052.32,10.24,2.6286
13/05/16,1.01,17.514M,2.746,19.2081,2046.61,10.84,2.5486
06/05/16,1,17.61M,2.7608,19.3312,2057.14,10.09,2.6276
29/04/16,1.13,17.688M,2.7763,19.4189,2065.3,9.44,2.6781
22/04/16,1.2,17.915M,2.8104,19.6745,2091.58,9.14,2.707
15/04/16,1.17,17.811M,2.7939,19.5654,2080.73,10.66,2.5593
08/04/16,1.19,17.534M,2.7494,19.2533,2047.6,12.39,2.5525
01/04/16,1.18,17.74M,2.7838,19.5461,2072.78,12.45,2.5997
18/03/16,1.33,17.541M,2.7813,18.8364,2049.58,15.9,2.6753
11/03/16,1.37,17.309M,2.7442,18.5846,2022.19,18.17,2.7532
04/03/16,1.43,17.121M,2.7132,18.3659,1999.99,20.01,2.6947
26/02/16,1.4,16.669M,2.6437,17.8633,1948.05,21.04,2.6363
19/02/16,1.36,16.429M,2.6039,17.5744,1917.78,22.28,2.6048
12/02/16,1.37,15.991M,2.5325,17.094,1864.78,22.59,2.604
05/02/16,1.37,16.144M,2.5539,17.2291,1880.05,21.58,2.6683
29/01/16,1.41,16.688M,2.6266,17.7857,1940.24,22.13,2.7438
22/01/16,1.42,16.403M,2.5809,17.4848,1906.9,21.09,2.8238
15/01/16,1.47,16.196M,2.5445,17.2241,1880.33,20.9,2.814
08/01/16,1.48,16.538M,2.6007,17.6041,1922.03,18.63,2.9094
01/01/16,1.5,17.57M,2.7632,18.7275,2043.94,16.33,3.0158
25/12/15,1.53,17.721M,2.778,18.6713,2060.99,17.32,2.9603
18/12/15,1.5,17.248M,2.7026,18.1352,2005.55,17.17,2.922
